Symbol	Name	GeneID	Chr	Chr Band	Cancer Somatic Mut	Cancer Germline Mut	Tumour Types  (Somatic Mutations)	Tumour Types (Germline Mutations)	Cancer Syndrome	Tissue Type	Cancer Molecular Genetics	Mutation Type 	Translocation Partner	Other Germline Mut	Other Syndrome/Disease
RB1	retinoblastoma gene	5925	13	13q14	yes	yes	"retinoblastoma, sarcoma, breast, small cell lung"	"retinoblastoma, sarcoma, breast, small cell lung"	Familial retinoblastoma	"L, E, M, O"	Rec	"D, Mis, N, F, S"			
RBM15	RNA binding motif protein 15	64783	1	1p13	yes		acute megakaryocytic leukemia			L	Dom	T	MKL1		
RECQL4	RecQ protein-like 4	9401	8	8q24.3		yes		"osteosarcoma, skin basal and sqamous cell"	Rothmund-Thompson Syndrome	M	Rec	"N, F, S"			
REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	5966	2	 2p13-p12	yes		Hodgkin Lymphoma			L	Dom	A			
RET	ret proto-oncogene 	5979	10	10q11.2 	yes	yes	"medullary thyroid,  papillary thyroid, pheochromocytoma"	"medullary thyroid,  papillary thyroid, pheochromocytoma"	Multiple endocrine neoplasia 2A/2B	"E, O"	Dom	"T, Mis, N, F"	"H4, PRKAR1A, NCOA4, PCM1, GOLGA5, TRIM33, KTN1, TRIM27, HOOK3"	yes	Hirschsprung disease
ROS1	v-ros UR2 sarcoma virus oncogene homolog 1 (avian)	6098	6	6q22	yes		"glioblastoma, NSCLC"			O	Dom	T	"GOPC, ROS1"		
RPL22	ribosomal protein L22 (EAP)	6146	1	1p36.31	yes		"AML, CML"			L	Dom	T	RUNX1		
RPN1	ribophorin I	6184	3	3q21.3-q25.2	yes		AML			L	Dom	T	EVI1		
RUNDC2A	RUN domain containing 2A	92017	16	16p13.13	yes		"PMBL, Hodgkin Lymphona, "			L	Dom	T	CIITA		
RUNX1	 runt-related transcription factor 1  (AML1)	861	21	21q22.3 	yes		"AML, preB- ALL, T-ALL"			L	Dom	T	"RPL22, MDS1, EVI1, CBFA2T3, CBFA2T1, ETV6, LAF4"		
RUNXBP2	runt-related transcription factor binding protein 2 (MOZ/ZNF220)	7994	8	8p11	yes		AML			L	Dom	T	"CREBBP, NCOA2, EP300"		
SBDS	Shwachman-Bodian-Diamond syndrome protein	51119	7	7q11		yes		"AML, MDS"	Schwachman-Diamond syndrome	L	Rec	Gene Conversion			
SDH5	cytoband 11 open reading frame 79	54949	11	11q12.2		yes		paraganglioma	Familial paraganglioma	M	Rec	M
SDHB	"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)"	6390	1	1p36.1-p35 		yes		"paraganglioma, pheochromocytoma"	Familial paraganglioma	O	Rec	"Mis, N, F"			
SDHC	"succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa"	6391	1	1q21 		yes		"paraganglioma, pheochromocytoma"	Familial paraganglioma	O	Rec	"Mis, N, F"			
SDHD	"succinate dehydrogenase complex, subunit D, integral membrane protein"	6392	11	11q23 		yes		"paraganglioma, pheochromocytoma"	Familial paraganglioma	O	Rec	"Mis, N, F, S"			
SEPT6	septin 6	23157	X	Xq24	yes		AML			L	Dom	T	MLL		
SET	SET translocation 	6418	9	9q34	yes		AML			L	Dom	T	NUP214		
SETD2	SET domain containing 2	29072	3	3p21.31	yes		clear cell renal carcinoma			E	Rec	"N, F, S, Mis"			
SF3B1	"splicing factor 3b, subunit 1, 155kDa"	23451	2	2q33.1	yes		myelodysplastic syndrome			L	Dom	Mis			
SFPQ	splicing factor proline/glutamine rich(polypyrimidine tract binding protein associated)	6421	1	1p34.3	yes		papillary renal cell			E	Dom	T	TFE3		
SFRS3	"splicing factor, arginine/serine-rich 3"	6428	6	6p21	yes		follicular lymphoma			L	Dom	T	BCL6		
SH3GL1	SH3-domain GRB2-like 1 (EEN)	6455	19	 19p13.3 	yes		AL			L	Dom	T	MLL		
SIL	TAL1 (SCL) interrupting locus	6491	1	1p32	yes		T-ALL			L	Dom	T	TAL1		
SLC45A3	"solute carrier family 45, member 3"	85414	1	1q32	yes		prostate 			E	Dom	T	"ETV1, ETV5, ELK4, ERG"		
SMARCA4	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"	6597	19	19p13.2	yes		NSCLC			E	Rec	"F, N, Mis"			
SMARCB1	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"	6598	22	22q11 	yes	yes	malignant rhabdoid 	malignant rhabdoid	Rhabdoid predisposition syndrome	M	Rec	"D, N, F, S"			
SMO	smoothened homolog (Drosophila)	6608	7	7q31-q32 	yes		skin basal cell 			E	Dom	Mis			
SOCS1	suppressor of cytokine signaling 1�	8651	16	16p13.13	yes		"Hodgkin Lymphoma, PMBL"			L	Rec	"F, O"			
SOX2	SRY (sex determining region Y)-box 2	6657	3	3q26.3-q27	yes		"NSCLC, oesophageal squamous carcinoma"			E	Dom	A		yes	MICROPHTHALMIA AND ESOPHAGEAL ATRESIA SYNDROME
SRGAP3	SLIT-ROBO Rho GTPase activating protein 3	9901	3	3p25.3	yes		pilocytic astrocytoma			M	Dom	T	RAF1		
SS18	"synovial sarcoma translocation, cytoband 18"	6760	18	18q11.2	yes		synovial sarcoma			M	Dom	T	"SSX1,  SSX2"
SS18L1	synovial sarcoma translocation gene on cytoband 18-like 1	26039	20	20q13.3	yes		synovial sarcoma			M	Dom	T	SSX1
SSH3BP1	spectrin SH3 domain binding protein 1	10006	10	10p11.2 	yes		AML			L	Dom	T	MLL		
SSX1 	"synovial sarcoma, X breakpoint 1"	6756	X	Xp11.23-p11.22	yes		synovial sarcoma			M	Dom	T	SS18		
SSX2	"synovial sarcoma, X breakpoint 2"	6757	X	Xp11.23-p11.22	yes		synovial sarcoma			M	Dom	T	SS18		
SSX4	"synovial sarcoma, X breakpoint 4"	6759	X	Xp11.23	yes		synovial sarcoma			M	Dom	T	SS18		
STK11	serine/threonine kinase 11 gene (LKB1)	6794	19	19p13.3	yes	yes	"NSCLC, pancreatic"	"jejunal harmartoma, ovarian, testicular, pancreatic"	Peutz-Jeghers syndrome	"E, M, O"	Rec	"D, Mis, N, F, S"			
STL	Six-twelve leukemia gene	7955	6	6q23 	yes		B-ALL			L	Dom	T	ETV6		
SUFU	suppressor of fused homolog (Drosophila)	51684	10	10q24.32	yes	yes	medulloblastoma	medulloblastoma	Medulloblastoma predisposition	O	Rec	"D, F, S"			
SUZ12	suppressor of zeste 12 homolog (Drosophila)	23512	17	17q11.2	yes		endometrial stromal tumours			M	Dom	T	JAZF1		
SYK	spleen tyrosine kinase	6850	9	9q22	yes		"MDS, peripheral T-cell lymphoma"			L	Dom	T	"ETV6, ITK"		
TAF15	"TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa"	8148	17	17q11.1-q11.2	yes		"extraskeletal myxoid chondrosarcomas, ALL"			"L, M"	Dom	T	"TEC, CHN1, ZNF384"		
TAL1	T-cell acute lymphocytic leukemia 1 (SCL)	6886	1	1p32 	yes		lymphoblastic leukemia/biphasic			L	Dom	T	"TRD@, SIL"		
TAL2	T-cell acute lymphocytic leukemia 2	6887	9	9q31	yes		T-ALL			L	Dom	T	TRB@		
TCEA1	"transcription elongation factor A (SII), 1"	6917	8	8q11.2	yes		salivary adenoma			E	Dom	T	PLAG1		
TCF1	"transcription factor 1, hepatic (HNF1)"	6927	12	12q24.2	yes	yes	"hepatic adenoma, hepatocellular ca"	"hepatic adenoma, hepatocellular ca"	Familial Hepatic Adenoma	E	Rec	"Mis, F"		yes	"Maturity-onset diabetes of the young, TYPE III"
TCF12	"transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)"	6938	15	15q21	yes		extraskeletal myxoid chondrosarcoma			M	Dom	T	TEC		
TCF3	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	6929	19	19p13.3 	yes		pre B-ALL			L	Dom	T	"PBX1, HLF, TFPT"		
TCF7L2	transcription factor 7-like 2	6934	10	10q25.3	yes		colorectal			E	Dom	T	VTI1A		
TCL1A	T-cell leukemia/lymphoma 1A	8115	14	14q32.1	yes		T-CLL			L	Dom	T	TRA@		
TCL6	T-cell leukemia/lymphoma 6	27004	14	14q32.1	yes		T-ALL			L	Dom	T	TRA@		
TET2	tet oncogene family member 2	54790	4	4q24	yes		MDS			L	Rec	"Mis N, F"			
TFE3	transcription factor binding to IGHM enhancer 3	7030	X	Xp11.22	yes		"papillary renal, alveolar soft part sarcoma, renal"			E	Dom	T	"SFPQ, ASPSCR1, PRCC, NONO, CLTC"		
TFEB	transcription factor EB	7942	6	6p21	yes		renal (childhood epithelioid)			"E,M"	Dom	T	ALPHA		
TFG	TRK-fused gene	10342	3	3q11-q12	yes		"papillary thyroid, ALCL, NSCLC"			"E, L"	Dom	T	"NTRK1, ALK"		
TFPT	TCF3 (E2A) fusion partner (in childhood Leukemia)	29844	19	19q13	yes		pre-B ALL			L	Dom	T	TCF3		
TFRC	"transferrin receptor (p90, CD71)"	7037	3	3q29 	yes		NHL			L	Dom	T	BCL6		
THRAP3	thyroid hormone receptor associated protein 3 (TRAP150)	9967	1	1p34.3	yes		aneurysmal bone cysts			M	Dom	T	USP6		
TIF1	"transcriptional intermediary factor 1  (PTC6,TIF1A)"	8805	7	7q32-q34 	yes		APL			L	Dom	T	RARA		
TLX1	" T-cell leukemia, homeobox 1 (HOX11)"	3195	10	10q24	yes		T-ALL			L	Dom	T	"TRB@, TRD@"		
TLX3	"T-cell leukemia, homeobox 3 (HOX11L2)"	30012	5	5q35.1	yes		T-ALL			L	Dom	T	BCL11B		
TMPRSS2	"transmembrane protease, serine 2"	7113	21	21q22.3	yes		prostate 			E	Dom	T	"ERG, ETV1, ETV4, ETV5"		
TNFAIP3	"tumor necrosis factor, alpha-induced protein 3"	7128	6	6q23	yes		"marginal zone B-cell lymphomas, Hodgkin's lymphoma, primary mediastinal B cell lymphoma"			L	Rec	"D, N, F"			
TNFRSF14	"tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)"	8764	1	1p36.32	yes		follicular lymphoma			L	Rec	"Mis, N, F"			
TNFRSF17	"tumor necrosis factor receptor superfamily, member 17"	608	16	16p13.1	yes		intestinal T-cell lymphoma			L	Dom	T	IL2		
TNFRSF6	"tumor necrosis factor receptor superfamily, member 6 (FAS)"	355	10	10q24.1	yes		"TGCT, nasal NK/T lymphoma, skin squamous cell ca -burn scar-related"			"L, E, O"	Rec	Mis 		yes	Autoimmune lymphoproliferative syndrome
TOP1	topoisomerase (DNA) I	7150	20	20q12-q13.1 	yes		AML*			L	Dom	T	NUP98		
TP53	tumor protein p53	7157	17	17p13	yes	yes	"breast, colorectal, lung, sarcoma, adrenocortical, glioma, multiple other tumour types"	"breast, sarcoma, adrenocortical carcinoma, glioma, multiple other tumour types"	Li-Fraumeni syndrome	"L, E, M, O"	Rec	"Mis, N, F"			
TPM3	tropomyosin 3	7170	1	1q22-q23 	yes		"papillary thyroid, ALCL"			"E, L"	Dom	T	"NTRK1, ALK"		
TPM4	tropomyosin 4	7171	19	19p13.1	yes		ALCL			L	Dom	T	ALK		
TPR	translocated promoter region 	7175	1	1q25 	yes		papillary thyroid			E	Dom	T	NTRK1		
TRA@	T cell receptor alpha locus	6955	14	14q11.2	yes		T-ALL			L	Dom	T	"ATL,OLIG2, MYC, TCL1A, TCL6, MTCP1, TCL6"		
TRB@	T cell receptor beta locus	6957	7	7q35 	yes		T-ALL			L	Dom	T	"HOX11, LCK, NOTCH1, TAL2, LYL1"		
TRD@	T cell receptor delta locus	6964	14	14q11	yes		T-cell leukemia			L	Dom	T	"TAL1, HOX11, TLX1, LMO1, LMO2, RANBP17"		
TRIM27	tripartite motif-containing 27	5987	6	6p22	yes		papillary thyroid			E	Dom	T	RET		
TRIM33	" tripartite motif-containing 33 (PTC7,TIF1G)"	51592	1	1p13	yes		papillary thyroid			E	Dom	T	RET		
TRIP11	thyroid hormone receptor interactor 11	9321	14	14q31-q32 	yes		AML			L	Dom	T	PDGFRB		
TSC1	tuberous sclerosis 1 gene	7248	9	9q34 		yes		"hamartoma, renal cell"	Tuberous sclerosis 1	"E, O"	Rec	"D, Mis, N, F, S"			
TSC2	tuberous sclerosis 2 gene	7249	16	16p13.3 		yes		"hamartoma, renal cell"	Tuberous sclerosis 2	"E, O"	Rec	"D, Mis, N, F, S"			
TSHR	thyroid stimulating hormone receptor	7253	14	14q31 	yes	yes	toxic thyroid adenoma	thyroid  adenoma		E	Dom	Mis		yes	Hereditary nonautoimmune hyperthyroidism; subclinical hypothyroidism 
TTL	tubulin tyrosine ligase	150465	2	2q13	yes		ALL			L	Dom	T	ETV6		
USP6	ubiquitin specific peptidase 6 (Tre-2 oncogene)	9098	17	17p13	yes		aneurysmal bone cysts			M	Dom	T	"COL1A1, CDH11, ZNF9, OMD"		
VHL	von Hippel-Lindau syndrome gene	7428	3	3p25	yes	yes	"renal, hemangioma, pheochromocytoma"	"renal, hemangioma, pheochromocytoma"	von Hippel-Lindau syndrome	"E, M, O"	Rec	"D, Mis, N, F, S"			
VTI1A	vesicle transport through interaction with t-SNAREs homolog 1A	143187	10	10q25.2	yes		colorectal			E	Dom	T	TCF7L2		
WAS	Wiskott-Aldrich syndrome 	7454	X	Xp11.23-p11.22				lymphoma	Wiskott-Aldrich syndrome	L	X-linked recessive	"Mis, N, F, S"			
WHSC1	Wolf-Hirschhorn syndrome candidate 1(MMSET)	7468	4	4p16.3	yes		MM			L	Dom	T	IGH@		
WHSC1L1	Wolf-Hirschhorn syndrome candidate 1-like 1 (NSD3)	54904	8	8p12 	yes		AML			L	Dom	T	NUP98		
WIF1	WNT inhibitory factor 1	11197	12	12q14.3	yes		pleomorphic salivary gland adenoma			E	Dom	T	HMGA2		
WRN	Werner syndrome (RECQL2)	7486	8	8p12-p11.2		yes		"osteosarcoma, meningioma, others"	Werner Syndrome	"L, E, M, O"	Rec	"Mis, N, F, S"			
WT1	Wilms tumour 1 gene	7490	11	11p13	yes	yes	"Wilms, desmoplastic small round cell tumor"	Wilms	"Denys-Drash syndrome, Frasier syndrome, Familial Wilms tumor"	O	Rec	"D, Mis, N, F, S"	EWSR1		
WTX	family with sequence similarity 123B (FAM123B)	139285	X	Xq11.1	yes		Wilms tumour			O	Rec	"F, D, N, Mis"			
XPA	"xeroderma pigmentosum, complementation group A"	7507	9	9q22.3		yes		"skin basal cell, skin squamous cell, melanoma"	Xeroderma pigmentosum (A) 	E	Rec	"Mis, N, F, S"			
XPC	"xeroderma pigmentosum, complementation group C"	7508	3	3p25		yes		"skin basal cell, skin squamous cell, melanoma"	Xeroderma pigmentosum (C) 	E	Rec	"Mis, N, F, S"			
XPO1	"exportin 1 (CRM1 homolog, yeast)"	7514	2	2p15	yes		CLL			L	Dom	Mis			
ZNF145	zinc finger protein 145 (PLZF)	7704	11	11q23.1 	yes		APL			L	Dom	T	RARA		
ZNF198	zinc finger protein 198	7750	13	13q11-q12	yes		"MPD, NHL"			L	Dom	T	FGFR1		
ZNF278	zinc finger protein 278 (ZSG)	23598	22	22q12-q14 	yes		Ewing sarcoma			M	Dom	T	EWSR1		
ZNF331	zinc finger protein 331	55422	19	19q13.3-q13.4	yes		follicular thyroid adenoma			E	Dom	T	?		
ZNF384	zinc finger protein 384 (CIZ/NMP4)	171017	12	12p13 	yes		ALL			L 	Dom	T	"EWSR1, TAF15 "		
ZNF521	zinc finger protein 521	25925	18	18q11.2	yes		ALL			L	Dom	T	PAX5		
ZNF9	zinc finger protein 9 (a cellular retroviral nucleic acid binding protein)	7555	3	3q21	yes		aneurysmal bone cysts			M	Dom	T	USP6		
ZNFN1A1	"zinc finger protein, subfamily 1A, 1 (Ikaros)"	10320	7	7p12 	yes		"ALL, DLBCL"			L	Dom	T	BCL6		
